Year,Population Estimate
1950,346278817
1951,353870058
1952,361874904
1953,370104571
1954,378687141
1955,387700891
1956,396988906
1957,406253895
1958,415777437
1959,425780669
1960,435990344
1961,446564730
1962,457283092
1963,468138576
1964,479229599
1965,490140141
1966,500740250
1967,511606375
1968,522716894
1969,533880544
1970,545864268
1971,558096383
1972,570482142
1973,583465595
1974,597041392
1975,611309532
1976,625861887
1977,640801105
1978,655728226
1979,671155745
1980,687354031
1981,703696255
1982,720313474
1983,737372685
1984,754875451
1985,772647801
1986,790689978
1987,808931261
1988,827342997
1989,846039530
1990,864972219
1991,883927607
1992,902957072
1993,922118380
1994,941163775
1995,960301048
1996,979678464
1997,999133765
1998,1018665073
1999,1038225821
2000,1057922728
2001,1077898572
2002,1097600381
2003,1116802997
2004,1135991510
2005,1154676319
2006,1172878890
2007,1190676028
2008,1207930962
2009,1225524760
2010,1243481564
2011,1261224952
2012,1278674506
2013,1295829506
2014,1312277184
2015,1328024492
2016,1343944293
2017,1359657392
2018,1374659068
2019,1389030303
2020,1402617692
2021,1414203889
2022,1425423212
2023,1438069597
