year,population
1950,19757320
1951,19868990
1952,20229881
1953,20775325
1954,21415579
1955,22125103
1956,22874440
1957,23660791
1958,24473927
1959,25298234
1960,26115390
1961,26852962
1962,27509234
1963,28145547
1964,28744980
1965,29284343
1966,29845940
1967,30495724
1968,31175295
1969,31852769
1970,32542203
1971,33239860
1972,33936471
1973,34625845
1974,35287832
1975,35875741
1976,36379927
1977,36843638
1978,37281937
1979,37710898
1980,38141109
1981,38689193
1982,39356158
1983,40000944
1984,40598301
1985,41148957
1986,41718508
1987,42322092
1988,42922979
1989,43524764
1990,44081425
1991,44439149
1992,44653700
1993,44887722
1994,45130842
1995,45368425
1996,45638701
1997,45941541
1998,46230883
1999,46500382
2000,46766659
2001,47043466
2002,47299118
2003,47514158
2004,47697076
2005,47851646
2006,48006518
2007,48178122
2008,48356486
2009,48546689
2010,48769330
2011,49127641
2012,49599579
2013,50071168
2014,50539055
2015,50983908
2016,51297837
2017,51486268
2018,51640894
2019,51767843
2020,51858480
2021,51848401
2022,51782514
2023,51748744
